"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600984","BROWNSVILLE COLLEGIATE  CHARTER SCHOOL","New York","BROOKLYN","Charter agency","330","","13","","",""
"2016","3600986","GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX","New York","BRONX","Charter agency","735","","45","","",""
"2016","3600987","GROWING UP GREEN CHARTER SCHOOL","New York","LONG ISLAND CITY","Charter agency","811","","77","","",""
"2016","3600988","EVERGREEN CHARTER SCHOOL","New York","HEMPSTEAD","Charter agency","376","","118","","",""
"2016","3600989","BROOKLYN SCHOLARS CHARTER SCHOOL","New York","BROOKLYN","Charter agency","702","","7","","",""
"2016","3600990","NEW ROOTS CHARTER SCHOOL","New York","ITHACA","Charter agency","138","","","","",""
"2016","3600991","BROOKLYN PROSPECT CHARTER SCHOOL","New York","BROOKLYN","Charter agency","998","","11","","",""
"2016","3600992","TRUE NORTH TROY PREPARATORY CHARTER SCHOOL","New York","TROY","Charter agency","529","","10","","",""
"2016","3600993","LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1039","","25","","",""
"2016","3600994","EXPLORE EMPOWER CHARTER SCHOOL","New York","BROOKLYN","Charter agency","514","","18","","",""
"2016","3600995","ICAHN CHARTER SCHOOL 4","New York","BRONX","Charter agency","316","","3","","",""
"2016","3600996","JOHN W LAVELLE PREPARATORY CHARTER SCHOOL","New York","STATEN ISLAND","Charter agency","636","","18","","",""
"2016","3600997","ACADEMY CHARTER SCHOOL","New York","HEMPSTEAD","Charter agency","945","","70","","",""
"2016","3600998","SUMMIT ACADEMY CHARTER SCHOOL","New York","BROOKLYN","Charter agency","329","","18","","",""
"2016","3600999","FAHARI ACADEMY CHARTER SCHOOL","New York","BROOKLYN","Charter agency","","","","","",""
"2016","3601000","EXCELLENCE GIRLS CHARTER SCHOOL","New York","BROOKLYN","Charter agency","1336","","27","","",""
