"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2014","3613290","HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT","New York","DIX HILLS","Regular local school district","8927"
"2014","3613350","HAMBURG CENTRAL SCHOOL DISTRICT","New York","HAMBURG","Regular local school district","3703"
"2014","3613380","HAMILTON CENTRAL SCHOOL DISTRICT","New York","HAMILTON","Regular local school district","579"
"2014","3613440","HAMMOND CENTRAL SCHOOL DISTRICT","New York","HAMMOND","Regular local school district","310"
"2014","3613470","HAMMONDSPORT CENTRAL SCHOOL DISTRICT","New York","HAMMONDSPORT","Regular local school district","483"
"2014","3613530","HAMPTON BAYS UNION FREE SCHOOL DISTRICT","New York","HAMPTON BAYS","Regular local school district","2174"
"2014","3613560","HANCOCK CENTRAL SCHOOL DISTRICT","New York","HANCOCK","Regular local school district","392"
"2014","3613590","HANNIBAL CENTRAL SCHOOL DISTRICT","New York","HANNIBAL","Regular local school district","1407"
"2014","3613620","HARBORFIELDS CENTRAL SCHOOL DISTRICT","New York","GREENLAWN","Regular local school district","3364"
"2014","3613710","HARPURSVILLE CENTRAL SCHOOL DISTRICT","New York","HARPURSVILLE","Regular local school district","900"
"2014","3613740","HARRISON CENTRAL SCHOOL DISTRICT","New York","HARRISON","Regular local school district","3558"
"2014","3613770","HARRISVILLE CENTRAL SCHOOL DISTRICT","New York","HARRISVILLE","Regular local school district","408"
"2014","3613830","HARTFORD CENTRAL SCHOOL DISTRICT","New York","HARTFORD","Regular local school district","487"
"2014","3613950","HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT","New York","HASTINGS ON HUDSON","Regular local school district","1551"
"2014","3613980","HAUPPAUGE UNION FREE SCHOOL DISTRICT","New York","HAUPPAUGE","Regular local school district","3782"
"2014","3614010","HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND)","New York","GARNERVILLE","Regular local school district","8010"
"2014","3614070","HAWTHORNE-CEDAR KNOLLS UNION FREE SCHOOL DISTRICT","New York","HAWTHORNE","Regular local school district","261"
"2014","3614130","HEMPSTEAD UNION FREE SCHOOL DISTRICT","New York","HEMPSTEAD","Regular local school district","7891"
"2014","3614190","HENDRICK HUDSON CENTRAL SCHOOL DISTRICT","New York","MONTROSE","Regular local school district","2366"
"2014","3614220","HERKIMER CENTRAL SCHOOL DISTRICT","New York","HERKIMER","Regular local school district","1208"
"2014","3614250","HERMON-DEKALB CENTRAL SCHOOL DISTRICT","New York","DE KALB JUNCTION","Regular local school district","421"
"2014","3614280","HERRICKS UNION FREE SCHOOL DISTRICT","New York","NEW HYDE PARK","Regular local school district","3923"
"2014","3614310","HEUVELTON CENTRAL SCHOOL DISTRICT","New York","HEUVELTON","Regular local school district","524"
"2014","3614340","HICKSVILLE UNION FREE SCHOOL DISTRICT","New York","HICKSVILLE","Regular local school district","5267"
"2014","3614400","HIGHLAND CENTRAL SCHOOL DISTRICT","New York","HIGHLAND","Regular local school district","1824"
"2014","3614430","HIGHLAND FALLS CENTRAL SCHOOL DISTRICT","New York","FORT MONTGOMERY","Regular local school district","1000"
"2014","3614460","HILTON CENTRAL SCHOOL DISTRICT","New York","HILTON","Regular local school district","4482"
"2014","3614490","HINSDALE CENTRAL SCHOOL DISTRICT","New York","HINSDALE","Regular local school district","466"
"2014","3614550","HOLLAND CENTRAL SCHOOL DISTRICT","New York","HOLLAND","Regular local school district","943"
"2014","3614580","HOLLAND PATENT CENTRAL SCHOOL DISTRICT","New York","HOLLAND PATENT","Regular local school district","1512"
"2014","3614610","HOLLEY CENTRAL SCHOOL DISTRICT","New York","HOLLEY","Regular local school district","1115"
"2014","3614640","HOMER CENTRAL SCHOOL DISTRICT","New York","HOMER","Regular local school district","2083"
"2014","3614670","HONEOYE CENTRAL SCHOOL DISTRICT","New York","HONEOYE","Regular local school district","628"
"2014","3614700","HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT","New York","HONEOYE FALLS","Regular local school district","2298"
"2014","3614730","HOOSIC VALLEY CENTRAL SCHOOL DISTRICT","New York","SCHAGHTICOKE","Regular local school district","1002"
"2014","3614760","HOOSICK FALLS CENTRAL SCHOOL DISTRICT","New York","HOOSICK FALLS","Regular local school district","1145"
"2014","3614820","HORNELL CITY SCHOOL DISTRICT","New York","HORNELL","Regular local school district","1763"
"2014","3614850","HORSEHEADS CENTRAL SCHOOL DISTRICT","New York","HORSEHEADS","Regular local school district","4156"
"2014","3614880","SACKETS HARBOR CENTRAL SCHOOL DISTRICT","New York","SACKETS HARBOR","Regular local school district","453"
"2014","3614940","HUDSON CITY SCHOOL DISTRICT","New York","HUDSON","Regular local school district","1873"
"2014","3614970","HUDSON FALLS CENTRAL SCHOOL DISTRICT","New York","FORT EDWARD","Regular local school district","2403"
"2014","3615030","GEORGE JUNIOR REPUBLIC UNION FREE SCHOOL DISTRICT","New York","FREEVILLE","Regular local school district","133"
